Scenario,ScenName,Activity,Year,Median,CI_High,CI_Low
2,Amb,ifm,31,-5.630693329,-5.40704071,-5.848263608
2,Amb,reforest,1,-0.004618675,-0.000290105,-0.014523066
2,Amb,reforest,2,-0.009986707,-0.00202176,-0.025054279
2,Amb,reforest,3,-0.016030351,-0.00782312,-0.029821377
2,Amb,reforest,4,-0.020751542,-0.015209302,-0.034463477
2,Amb,reforest,5,-0.024877682,-0.016366711,-0.043947108
2,Amb,reforest,6,-0.029199847,-0.018711472,-0.047121509
2,Amb,reforest,7,-0.032950052,-0.024811323,-0.049802047
2,Amb,reforest,8,-0.035081541,-0.030324591,-0.053582452
2,Amb,reforest,9,-0.039096295,-0.031700074,-0.058637583
2,Amb,reforest,10,-0.041276612,-0.032499862,-0.059936077
2,Amb,reforest,11,-0.041178854,-0.031270941,-0.05954415
2,Amb,reforest,12,-0.04149936,-0.03175729,-0.059528154
2,Amb,reforest,13,-0.041212982,-0.031179696,-0.058984044
2,Amb,reforest,14,-0.040247457,-0.03127635,-0.058332232
2,Amb,reforest,15,-0.041532773,-0.031720445,-0.059227492
2,Amb,reforest,16,-0.048335283,-0.036531467,-0.071741638
2,Amb,reforest,17,-0.056445009,-0.038316811,-0.080057358
2,Amb,reforest,18,-0.062795685,-0.044350207,-0.085077909
2,Amb,reforest,19,-0.070105706,-0.05341136,-0.086954449
2,Amb,reforest,20,-0.07426772,-0.058918015,-0.097929604
2,Amb,reforest,21,-0.081176676,-0.062844816,-0.104316699
2,Amb,reforest,22,-0.086356684,-0.068931116,-0.106522255
2,Amb,reforest,23,-0.092441786,-0.076637587,-0.110584918
2,Amb,reforest,24,-0.097924313,-0.080095559,-0.116477935
2,Amb,reforest,25,-0.099774892,-0.081592421,-0.121521701
2,Amb,reforest,26,-0.10209415,-0.085507049,-0.122622564
2,Amb,reforest,27,-0.104528081,-0.087953781,-0.122828863
2,Amb,reforest,28,-0.106724406,-0.08894412,-0.126808255
2,Amb,reforest,29,-0.108078985,-0.09015278,-0.128079999
2,Amb,reforest,30,-0.110248672,-0.092245103,-0.12768503
2,Amb,reforest,31,-0.111950687,-0.094294295,-0.129587287
2,Amb,rref,1,-0.000571197,-0.000563027,-0.0005789
2,Amb,rref,2,-0.001670479,-0.001645477,-0.001693588
2,Amb,rref,3,-0.003258961,-0.003213741,-0.003304407
2,Amb,rref,4,-0.005299891,-0.005220774,-0.005373864
2,Amb,rref,5,-0.007758262,-0.007651692,-0.00786164
2,Amb,rref,6,-0.010600021,-0.010448372,-0.010751259
2,Amb,rref,7,-0.013809742,-0.013612825,-0.013999041
2,Amb,rref,8,-0.017350395,-0.017100062,-0.017604288
2,Amb,rref,9,-0.021175676,-0.02088428,-0.021487944
2,Amb,rref,10,-0.025312164,-0.024939639,-0.025670143
2,Amb,rref,11,-0.030262986,-0.029846183,-0.030699377
2,Amb,rref,12,-0.035985773,-0.035509067,-0.036491998
2,Amb,rref,13,-0.042431859,-0.041811115,-0.043018164
2,Amb,rref,14,-0.049507093,-0.048777791,-0.0502537
2,Amb,rref,15,-0.057240912,-0.056382626,-0.0580551
2,Amb,rref,16,-0.06554278,-0.064631968,-0.066425811
2,Amb,rref,17,-0.074303381,-0.073277067,-0.075332115
2,Amb,rref,18,-0.083569959,-0.082485719,-0.084788884
2,Amb,rref,19,-0.093331871,-0.091982473,-0.094629341
2,Amb,rref,20,-0.103420094,-0.101990268,-0.104921145
2,Amb,rref,21,-0.115069726,-0.113525425,-0.116652735
2,Amb,rref,22,-0.128193668,-0.126290364,-0.130125211
2,Amb,rref,23,-0.142489004,-0.140433263,-0.144552799
